lom_id,intuitiveness,fluidity,speed
4ead702dc2ac4a486cc0ec383767d7e5ab387e3f8361d75bbe42bbc1a781d4aa,"[54.119, 54.119]","[0.6700000000000017, 24.439999999999998, 0.6700000000000017, 24.439999999999998]","[3, 3]"
710b71cba5ff13e1debfba0c531f02dbdf3163b3dfcb25b967e9589933712747,"[5.253, 5.253]",[],"[1, 1]"
bfee46013f536e5dbf391150d4031e078ab86a3f8429045744d02ae2620fb267,"[0.622, 0.622, 0.622, 0.622, 0.622, 0.485, 0.622, 0.485]","[2.2150000000000003, 2.2150000000000003]","[1, 1, 1, 1, 1, 2, 1, 2]"
e1aecfb922e8258aa34ae19b2780170d57e9e6266694235d6fa96e37486e09cf,"[1.064, 1.064, 1.064, 1.064, 1.064]",[],"[1, 1, 1, 1, 1]"
cea160163a005e191e975be9a9bb0ce75a402f8baa156a179bd2809f3367ae6f,"[75.931, 75.931, 75.931, 75.931]",[],"[1, 1, 1, 1]"
c2cd8b42f81ae85c3c6db6268a60c7db943e053e9d9622e8c08f5cc681c1cacb,"[0.107, 0.107, 0.107, 0.107]",[],"[1, 1, 1, 1]"
c71ea205b85f0bac4ed2bdf70817aee6f109d2f5792b157a309720a7852ab449,"[0.19, 0.19]","[0.15100000000000002, 0.296, 0.132, 0.368, 0.15100000000000002, 0.296, 0.132, 0.368]","[5, 5]"
8ccec35756dabe9ae4554c6710cce3b5080f0961578627d58c561d3252feac3a,"[4.055, 10.251, 4.055, 4.055, 4.055, 4.055]",[],"[1, 1, 1, 1, 1, 1]"
b6fd6a0a0fc648553992c8979ee293e97dfbf7059d2222706b661ab2ddf046be,"[0.319, 0.319]",[],"[1, 1]"
9e60281efb2b87f6c6932e542d05c2808170f1917edc2ea64e7a82dc62e0aa7a,"[10.399, 10.399]",[],"[1, 1]"
fe74e8af93c9e02e750d3ee95a1aad8da74b40e112ea27e1e6da31f4425df447,"[3.11, 3.11, 3.11]",[],"[1, 1, 1]"
cdccc69e9638409d4b27a3ed1f328973188c0fa388cb7e730144339257083379,"[0.152, 0.152, 0.152]",[],"[1, 1, 1]"
f8449a6241256e82d06bcbc7b415ab0e80db382a2aae3dd570f9facd6bb1a9d5,"[1.443, 1.443, 1.443, 1.443]",[],"[1, 1, 1, 1]"
c729b756768e39af287d069b1aaa4a93dab1e1c4cac9168f1bcd976271505e3a,"[0.22, 0.22, 0.22]",[],"[1, 1, 1]"
8489bca7e31f5dc95aa9bda4b0e2f0c1ac491ce6650460c4f41390fe1cd55eec,"[3.038, 3.038, 3.038]",[],"[1, 1, 1]"
34cfceb71e5e3e1cab564b5f0eef295754beed97c3bb54c8e52a25285fd02597,"[0.905, 0.905]","[3.372, 3.372]","[2, 2]"
a0ca828439d61d7db2aa6f0e6b935fcb6e4f6d2b325513f83095d0d96c927ee3,"[5.534, 5.534, 5.534]",[],"[1, 1, 1]"
9377d8f869361cf4384ba9e6cfd474346258fe0316df48c605f6e00f1dfb5c23,"[9.786, 9.786]","[8.424999999999999, 4.324000000000002, 8.424999999999999, 4.324000000000002]","[3, 3]"
76b9e46d153257f8f7164b9a541e736dd618b04ad804875f03114a6006c13879,"[4.756, 1.946]",[],"[1, 1]"
